Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,F:System.Windows.Forms.MessageBoxButtons.OK,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,92,20,"M:System.Windows.Forms.MessageBox.Show(System.Windows.Forms.IWin32Window,System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,90,16,T:System.Windows.Forms.TextBox,,,,,"if (_txtConfirm != null && _txtPin.Text != _txtConfirm.Text)                 {                     MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);                     _txtConfirm.Clear();                     _txtConfirm.Focus();                     DialogResult = DialogResult.None;                 }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,90,16,P:System.Windows.Forms.TextBox.Text,,,,,"if (_txtConfirm != null && _txtPin.Text != _txtConfirm.Text)                 {                     MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);                     _txtConfirm.Clear();                     _txtConfirm.Focus();                     DialogResult = DialogResult.None;                 }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,90,16,T:System.Windows.Forms.TextBox,,,,,"if (_txtConfirm != null && _txtPin.Text != _txtConfirm.Text)                 {                     MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);                     _txtConfirm.Clear();                     _txtConfirm.Focus();                     DialogResult = DialogResult.None;                 }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,90,16,P:System.Windows.Forms.TextBox.Text,,,,,"if (_txtConfirm != null && _txtPin.Text != _txtConfirm.Text)                 {                     MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);                     _txtConfirm.Clear();                     _txtConfirm.Focus();                     DialogResult = DialogResult.None;                 }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,90,16,T:System.Windows.Forms.TextBox,,,,,"if (_txtConfirm != null && _txtPin.Text != _txtConfirm.Text)                 {                     MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);                     _txtConfirm.Clear();                     _txtConfirm.Focus();                     DialogResult = DialogResult.None;                 }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,86,20,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,86,20,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,86,20,F:System.Windows.Forms.DialogResult.None,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,86,20,T:System.Windows.Forms.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,86,20,P:System.Windows.Forms.Form.DialogResult,,,,,DialogResult = DialogResult.None;
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,T:System.Windows.Forms.MessageBoxIcon,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,F:System.Windows.Forms.MessageBoxIcon.Information,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,T:System.Windows.Forms.MessageBoxButtons,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,F:System.Windows.Forms.MessageBoxButtons.OK,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,T:System.Windows.Forms.MessageBox,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,T:System.Windows.Forms.DialogResult,,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,84,20,"M:System.Windows.Forms.MessageBox.Show(System.Windows.Forms.IWin32Window,System.String,System.String,System.Windows.Forms.MessageBoxButtons,System.Windows.Forms.MessageBoxIcon)",,,,,"MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,82,16,T:System.Windows.Forms.TextBox,,,,,"if (string.IsNullOrEmpty(_txtPin.Text))                 {                     MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);                     DialogResult = DialogResult.None;                     return;                 }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,82,16,P:System.Windows.Forms.TextBox.Text,,,,,"if (string.IsNullOrEmpty(_txtPin.Text))                 {                     MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);                     DialogResult = DialogResult.None;                     return;                 }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,80,12,E:System.Windows.Forms.Control.Click,,,,,"btnOk.Click += (_, _) =>             {                 if (string.IsNullOrEmpty(_txtPin.Text))                 {                     MessageBox.Show(this, ""Please enter a code."", ""Emergency Passport Tracker"",                         MessageBoxButtons.OK, MessageBoxIcon.Information);                     DialogResult = DialogResult.None;                     return;                 }                  if (_txtConfirm != null && _txtPin.Text != _txtConfirm.Text)                 {                     MessageBox.Show(this, ""The two codes do not match. Please try again."",                         ""Emergency Passport Tracker"", MessageBoxButtons.OK, MessageBoxIcon.Warning);                     _txtConfirm.Clear();                     _txtConfirm.Focus();                     DialogResult = DialogResult.None;                 }             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,P:System.Windows.Forms.Control.TabIndex,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,P:System.Windows.Forms.Control.Size,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,P:System.Windows.Forms.Control.Location,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,T:System.Windows.Forms.DialogResult,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,T:System.Windows.Forms.DialogResult,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,F:System.Windows.Forms.DialogResult.Cancel,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,T:System.Windows.Forms.DialogResult,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,P:System.Windows.Forms.Button.DialogResult,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,P:System.Windows.Forms.ButtonBase.Text,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,T:System.Windows.Forms.Button,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,71,12,M:System.Windows.Forms.Button.#ctor,,,,,"var btnCancel = new Button             {                 Text = ""Cancel"",                 DialogResult = DialogResult.Cancel,                 Location = new Point(267, nextTop),                 Size = new Size(75, 25),                 TabIndex = 3             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,62,12,P:System.Windows.Forms.Control.TabIndex,,,,,"var btnOk = new Button             {                 Text = ""OK"",                 DialogResult = DialogResult.OK,                 Location = new Point(186, nextTop),                 Size = new Size(75, 25),                 TabIndex = 2             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,62,12,P:System.Windows.Forms.Control.Size,,,,,"var btnOk = new Button             {                 Text = ""OK"",                 DialogResult = DialogResult.OK,                 Location = new Point(186, nextTop),                 Size = new Size(75, 25),                 TabIndex = 2             };"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,Emergency Passport Tracker.csproj,File,UI\PinPromptForm.cs,62,12,P:System.Windows.Forms.Control.Location,,,,,"var btnOk = new Button             {                 Text = ""OK"",                 DialogResult = DialogResult.OK,                 Location = new Point(186, nextTop),                 Size = new Size(75, 25),                 TabIndex = 2             };"
